name,Creature Level,Source,Perception,Senses,Rarity,Alignment,Size,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Language 12,Language 13,Language 14,Language 15,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Acrobatics,Arcana,Athletics,Crafting,Deception,Diplomacy,Intimidation,Medicine,Nature,Occultism,Performance,Religion,Society,Stealth,Survival,Thievery,HP,AC,Fort,Ref,Will,Immunities,Resistances,Weaknesses,Speed,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Spells 1,Spells 2,Spells 3,Reaction 1,Reaction 2,Reaction 3
ABANDONED ZEALOT,6,Bestiary 3,14,"Darkvision, Lifesense 60 feet (page 305), sense apostate",Common,Chaotic Evil,Medium,Incorporeal,Spirit,Undead,,,,,Common,Necril,one regional language,,,,,,,,,,,,,-5,4,0,2,2,4,14,,,,,,14,,,,,12,,16,,,75,22,10,14,16,"death effects, disease, paralyzed, poison, precision, unconscious","all damage 5 (except force, ghost touch, or positive; double resistance against non-magical)",,fly 40 feet,"Melee hand of despair +16 (finesse, magical), Damage 2d10+4 negative plus rend faith",,,,,,,Divine Innate Spells DC 24; 6th zealous conviction (self only); 4th crisis of faith,,,"Elegy of the Faithless (abjuration, magical tradition: divine The power of the divine is steeped in faith, the unseen, and belief in a power source from beyond the Material Plane. Clerics are the most iconic divine spellcasters, beseeching the gods to grant them their magic. Divine sorcerers can use the blood of their celestial or fiendish ancestors as a divine conduit, and champions call upon their gods to grant them martial prowess through divine guidance.&gt;divine, mental) Trigger A magical tradition: divine The power of the divine is steeped in faith, the unseen, and belief in a power source from beyond the Material Plane. Clerics are the most iconic divine spellcasters, beseeching the gods to grant them their magic. Divine sorcerers can use the blood of their celestial or fiendish ancestors as a divine conduit, and champions call upon their gods to grant them martial prowess through divine guidance.&gt;divine spell is cast within 30 feet of the abandoned zealot; Effect The abandoned zealot howls an elegy of regret, forcing the spellcaster to attempt a DC 22 Will save, or DC 24 if the caster is a member of the zealotes former faith. On a failure, the elegy disrupts the spell.",,
ADLET,10,Bestiary 3,18,"Low-Light Vision, Scent (imprecise) 30 feet",Common,Chaotic Neutral,Medium,Cold,Humanoid,,,,,,Adlet,Common,,,,,,,,,,,,,,5,6,4,0,4,0,20,,21,,,,,,,,,,,20,18,,180,30,20,22,16,cold,,fire 10,40 feet,"Melee spear +20 (magical), Damage 2d6+9 piercing plus 1d6 cold","Melee jaws +19, Damage 2d8+9 slashing plus 1d6 cold","Ranged spear +21 (magical, thrown 20 feet), Damage 2d6+9 piercing plus 1d6 cold","You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,,,,,,Avenging Bite Trigger A creature within reach of an adletes jaws Strike attacks one of the adletes allies; Effect The adlet makes a jaws Strike against the triggering creature.,,
ARBITER,1,Bestiary,7,"Darkvision, detect alignment (chaotic only), locate inevitable",Common,Neutral,Tiny,Aeon,Inevitable,Monitor,,,,,Celestial,Common,Infernal,Utopian,,,,,,,,,,,,1,4,2,0,2,1,9,,,,,6,,,,,,,,9,,,22,16,5,7,7,"death effects, disease, emotion, poison, unconscious",electricity 3,chaotic 3,"20 feet, fly 40 feet","Melee shortsword +9 (agile, finesse, lawful, magical, versatile S), Damage 1d6+1 piercing plus 1d4 lawful",,,,,,,"Divine Innate Spells DC 17; 4th read omens; 1st command, detect alignment (at will, chaotic only), mending (c3973)",,,,,
THELETOS,7,Bestiary 2,18,Darkvision,Common,Neutral,Medium,Aeon,Monitor,,,,,,envisioning,,,,,,,,,,,,,,,4,4,3,3,5,3,,16,,,,,16,,,,,18,,15,,,125,25,16,13,18,,,chaotic 5,"25 feet, fly 25 feet","Melee fist +17 (lawful, magical), Damage 2d10+4 bludgeoning plus 1d6 lawful","Melee tentacle +17 (agile, lawful, magical), Damage 2d8+4 slashing plus 1d6 lawful and fate drain",,,,,,"Divine Innate Spells DC 25, attack +17; 4th augury (at will), charm, dispel magic, enthrall, outcastes curse, remove curse, suggestion, touch of idiocy",,,,,
AXIOMITE,8,Bestiary,19,Darkvision,Common,Neutral,Medium,Aeon,Monitor,,,,,,Abyssal,Celestial,Common,Draconic,Infernal,Utopian,,,,,,,,,,5,4,3,5,5,3,16,,,,,15,,,,17,,17,,,,,155,26,13,16,18,"disease, emotion, fear","electricity 10, mental 10",chaotic 10,25 feet,"Melee warhammer +20 (lawful, magical, shove), Damage 2d8+11 bludgeoning plus 1d6 lawful","Melee fist +17 (agile, lawful, magical), Damage 1d8+5 bludgeoning plus 1d6 lawful",,,,,,"Divine Innate Spells DC 27, attack +17; 5th telekinetic haul; 4th dispel magic, divine wrath (lawful), lightning bolt (c3973); 3rd haste (c3973), paralyze; 2nd telekinetic maneuver; 1st true strike (at will); Cantrips (4th) telekinetic projectile",,,,,
ZELEKHUT,9,Bestiary 2,21,"Darkvision, true seeing",Common,Neutral,Large,Aeon,Inevitable,Monitor,,,,,Celestial,Infernal,Utopian; truespeech,,,,,,,,,,,,,6,5,4,0,3,3,18,,21,,,16,,,,,,,,,21,,160,28,17,20,18,"death effects, disease, emotion, poison, unconscious",,chaotic 10,"40 feet, fly 40 feet","Melee chain +21 (lawful, magical, reach 10 feet), Damage 2d10+6 slashing plus 2d6 electricity and 1d6 lawful plus Knockdown",,,,,,,"Divine Innate Spells DC 28; 5th locate; 4th clairaudience, clairvoyance, dimensional anchor, dispel magic, paralyze (c3973); Constant (6th) true seeing",,,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,
KOLYARUT,12,Bestiary,23,Darkvision,Common,Neutral,Medium,Aeon,Inevitable,Monitor,,,,,Celestial,Infernal,Utopian; truespeech,,,,,,,,,,,,,7,4,5,1,4,2,22,,27,,20,20,,,,,,,,,22,,215,34,23,24,22,"death effects, disease, emotion, poison, unconscious",,chaotic 15,25 feet,"Melee bastard sword +26 (lawful, magical, two-hand d12), Damage 2d8+13 slashing plus 1d6 lawful","Melee fist +23 (agile, lawful, magical), Damage 1d10+11 bludgeoning plus 1d6 lawful",,,,,,"Divine Innate Spells DC 32; 8th discern location; 5th command; 4th illusory disguise (at will), suggestion (c3972); 3rd paralyze (c3972); 2nd invisibility (self only); 1st command (at will)",,,,,
MARUT,15,Bestiary 2,26,"Darkvision, true seeing",Common,Neutral,Large,Aeon,Inevitable,Monitor,,,,,Celestial,Infernal,Utopian; truespeech,,,,,,,,,,,,,8,4,6,1,5,6,,,31,,,27,29,,,,,26,,,28,,230,37,27,25,26,"death effects, disease, emotion, poison, unconscious",,chaotic 15,25 feet; air walk,"Melee fist +30 (lawful, magical, reach 10 feet), Damage 3d8+11 bludgeoning plus 1d6 lawful and fists of thunder and lightning",,,,,,,"Divine Innate Spells DC 37; 8th chain lightning, dispel magic, earthquake, harm; 7th fear, plane shift, wall of force; 5th command, locate; 4th dimension door (at will); Constant (8th) air walk, true seeing",,,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,
BYTHOS,16,Bestiary 2,30,Darkvision,Uncommon,Neutral,Large,Aeon,Monitor,,,,,,envisioning,,,,,,,,,,,,,,,8,4,5,7,8,5,,29,32,,25,,25,,30,29,,30,,26,,,245,39,25,26,30,,,chaotic 15,fly 35 feet,"Melee fist +32 (lawful, magical, reach 10 feet), Damage 2d8+16 bludgeoning plus 2d8 cold and 2d8 lawful",,,,,,,"Divine Innate Spells DC 37; 8th augury (at will), teleport; 7th dimensional anchor, dimensional lock, haste, plane shift; 6th slow; 4th dimensional anchor (at will)",,,Temporal Reversion (fortune) Trigger The bythos fails or critically fails a check; Frequency once per day; Effect The bythos rerolls the triggering check and takes the better result.,,
WEIGHS-THE-EPOCHS,20,Extinction Curse - 06 - The Apocalypse Prophet,37,"Darkvision, Lifesense 120 feet, true seeing",Common,Neutral,Large,Aeon,Monitor,,,,,,envisioning,,,,,,,,,,,,,,,6,7,6,8,9,6,33,38,,,34,34,,,,38,,39,,35,,,335,45,32,31,37,"negative, positive",,chaotic 20,fly 40 feet; freedom of movement,"Melee energy touch (agile, lawful, magical) +36, Damage 5d8+18 positive or negative damage plus 1d6 lawful","Ranged Sphere of Oblivion +37 (magical), Effect see Sphere of Oblivion",,,,,,"Divine Innate Spells DC 47, attack +37; 10th alter reality; 9th banishment, blade barrier, disjunction, overwhelming presence; 8th disintegrate (c3972), unrelenting observation; 7th plane shift, retrocognition; 5th creation (at will); 4th create food (at will), shape stone (at will); 3rd hypercognition (at will); 2nd detect alignment (at will), shape wood (at will); 1st create water (at will); Constant (8th) true seeing; (4th) freedom of movement",,,Reality Twist Trigger The pleroma critically fails the saving throw. Effect The critical failure becomes a normal failure.,,
