Name,Type,Level,Traits,Tradition,Deities,Bloodlines,Casting Time,Components,Range,Target,Area,Duration,Saving Throw,Spell Attack,Effect,Critical Success,Success,Failure,Critical Failure,Heightening,Heal,Damage,Counteract,Conditions,Source,Nethys Link
Acid Splash,Cantrip,1,"Acid,Attack,Cantrip,Evocation","arcane,primal",,demonic,Two Actions,"somatic,verbal",30 feet,1 creature,None,None,None,TRUE,"You splash a glob of acid that splatters your target and nearby creatures. Make a spell attack. If you hit, you deal 1d6 acid damage plus 1 splash acid damage. On a critical success, the target also takes 1 persistent acid damage.",None,None,None,None,"Heightened (3rd) The initial damage increases to 1d6 + your spellcasting ability modifier, and the persistent damage increases to 2,Heightened (5th) The initial damage increases to 2d6 + your spellcasting ability modifier, the persistent damage increases to 3, and the splash damage increases to 2,Heightened (7th) The initial damage increases to 3d6 + your spellcasting ability modifier, the persistent damage increases to 4, and the splash damage increases to 3,Heightened (9th) The initial damage increases to 4d6 + your spellcasting ability modifier, the persistent damage increases to 5, and the splash damage increases to 4",FALSE,TRUE,FALSE,,Core Rulebook pg. 316,http://2e.aonprd.com/Spells.aspx?ID=3
Approximate,Cantrip,1,"Cantrip,Detection,Divination","arcane,divine,occult,primal",,,Two Actions,"somatic,verbal",10 feet,None,1 cubic foot,None,None,FALSE,"Your magic quickly flows over an area to help you count and catalog. Name a particular type of object you are looking for within the area. You gain an instant estimate of the quantity of the chosen objects that are clearly visible within the target area. The number is rounded to the largest digit. For example, you could look at a pile of 180 copper coins, and you would learn that it held about 200 coins, but you couldnt determine there were exactly 180 coins. The type of object you name can be as specific or general as you like--""dented copper coins"" is as viable as ""coins""--but the distinguishing features must be obvious at a glance, and the spell is automatically fooled by objects disguised as other objects. For instance, the spell would register copper coins plated in gold as gold coins, not copper coins.",None,None,None,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 90,http://2e.aonprd.com/Spells.aspx?ID=864
Bullhorn,Cantrip,1,"Auditory,Cantrip,Illusion","arcane,divine,occult",,,Two Actions,"somatic,verbal",None,None,None,10 minutes,None,FALSE,"You amplify your voice, loud enough for you to be heard easily at a great distance. For the duration, your voice can be heard loudly and clearly by all listeners within 500 feet, even if other ambient noise would otherwise block the sound. Despite the volume, this doesnt make your voice jarring or distracting. This doesnt increase the range or area of other auditory or linguistic effects, and physical barriers such as walls and doors still block or muffle your voice as normal. Your loud voice makes it easier to Coerce others, and the acoustics assist in Performing at a large venue. You gain a +1 status bonus to checks to Coerce and auditory Performance checks to Perform at a large venue. You can Dismiss the spell.",None,None,None,None,"Heightened (5th) Your voice can be heard clearly up to 1,200 feet away,Heightened (7th) Your voice can be heard clearly up to 1 mile away",FALSE,FALSE,FALSE,,Secrets of Magic pg. 93,http://2e.aonprd.com/Spells.aspx?ID=877
Chill Touch,Cantrip,1,"Cantrip,Necromancy,Negative","arcane,divine,occult",,"undead,shadow",Two Actions,"somatic,verbal",touch,1 living or undead creature,None,None,Fortitude,FALSE,"Siphoning negative energy into yourself, your hand radiates a pale darkness. Your touch weakens the living and disorients undead, possibly even causing them to flee. The effect depends on whether the target is living or undead. Living Creature The spell deals negative damage equal to 1d4 plus your spellcasting modifier. The target attempts a basic Fortitude save, but is also enfeebled 1 for 1 round on a critical failure. Undead Creature The target is flat-footed for 1 round on a failed Fortitude save. On a critical failure, the target is also fleeing for 1 round unless it succeeds at a Will save.",None,None,None,None,Heightened (+1) The negative damage to living creatures increases by 1d4,FALSE,TRUE,FALSE,"Enfeebled,Fleeing",Core Rulebook pg. 323,http://2e.aonprd.com/Spells.aspx?ID=35
Dancing Lights,Cantrip,1,"Cantrip,Evocation,Light","arcane,occult,primal",,,Two Actions,"somatic,verbal",120 feet,None,None,sustained,None,FALSE,"You create up to four floating lights, no two of which are more than 10 feet apart. Each sheds light like a torch. When you Sustain the Spell, you can move any number of lights up to 60 feet. Each light must remain within 120 feet of you and within 10 feet of all others, or it winks out.",None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 327,http://2e.aonprd.com/Spells.aspx?ID=58
Daze,Cantrip,1,"Cantrip,Enchantment,Mental,Nonlethal","arcane,divine,occult",,"aberrant,hag",Two Actions,"somatic,verbal",60 feet,1 creature,None,1 round,Will,FALSE,"You cloud the targets mind and daze it with a mental jolt. The jolt deals mental damage equal to your spellcasting ability modifier; the target must attempt a basic Will save. If the target critically fails the save, it is also stunned 1.",None,None,None,None,Heightened (+2) The damage increases by 1d6,FALSE,TRUE,FALSE,Stunned,Core Rulebook pg. 327,http://2e.aonprd.com/Spells.aspx?ID=61
Detect Magic,Cantrip,1,"Cantrip,Detection,Divination","arcane,divine,occult,primal",,"imperial,genie,phoenix",Two Actions,"somatic,verbal",None,None,30-foot emanation,None,None,FALSE,"You send out a pulse that registers the presence of magic. You receive no information beyond the presence or absence of magic. You can choose to ignore magic youre fully aware of, such as the magic items and ongoing spells of you and your allies. You detect illusion magic only if that magics effect has a lower level than the level of your detect magic spell. However, items that have an illusion aura but arent deceptive in appearance (such as an invisibility potion) typically are detected normally.",None,None,None,None,"Heightened (3rd) You learn the school of magic for the highest-level effect within range that the spell detects, If multiple effects are equally strong, the GM determines which you learn,Heightened (4th) As 3rd level, but you also pinpoint the source of the highest-level magic, Like for an imprecise sense, you dont learn the exact location, but can narrow down the source to within a 5-foot cube (or the nearest if larger than that)",FALSE,FALSE,FALSE,,Core Rulebook pg. 328,http://2e.aonprd.com/Spells.aspx?ID=66
Disrupt Undead,Cantrip,1,"Cantrip,Necromancy,Positive","divine,primal",,psychopomp,Two Actions,"somatic,verbal",30 feet,1 undead creature,None,None,Fortitude,FALSE,"You lance the target with energy. You deal 1d6 positive damage plus your spellcasting ability modifier. The target must attempt a basic Fortitude save. If the creature critically fails the save, it is also enfeebled 1 for 1 round.",None,None,None,None,Heightened (+1) The damage increases by 1d6,FALSE,TRUE,FALSE,Enfeebled,Core Rulebook pg. 331,http://2e.aonprd.com/Spells.aspx?ID=79
Divine Lance,Cantrip,1,"Attack,Cantrip,Evocation",divine,,,Two Actions,"somatic,verbal",30 feet,1 creature,None,None,None,TRUE,"You unleash a beam of divine energy. Choose an alignment your deity has (chaotic, evil, good, or lawful). You cant cast this spell if you dont have a deity or if your deity is true neutral. Make a ranged spell attack roll against the targets AC. On a hit, the target takes damage of the chosen alignment type equal to 1d4 + your spellcasting ability modifier (double damage on a critical hit). The spell gains the trait of the alignment you chose.",None,None,None,None,Heightened (+1) The damage increases by 1d4,FALSE,TRUE,FALSE,,Core Rulebook pg. 331,http://2e.aonprd.com/Spells.aspx?ID=84
Electric Arc,Cantrip,1,"Cantrip,Electricity,Evocation","arcane,primal",,,Two Actions,"somatic,verbal",30 feet,1 or 2 creatures,None,None,basic Reflex,FALSE,An arc of lightning leaps from one target to another. You deal electricity damage equal to 1d4 plus your spellcasting ability modifier.,None,None,None,None,Heightened (+1) The damage increases by 1d4,FALSE,TRUE,FALSE,,Core Rulebook pg. 335,http://2e.aonprd.com/Spells.aspx?ID=97
